TOWN,Year,kWh Usage: Commercial,kWh Usage: Residential,kWh Savings: Commercial,kWh Savings: Residential,Number of Households,Average Residential kWh Usage/ Household,Average Residential kWh Savings/ Household,Savings as % of Usage,MMBtu Savings: Commercial,MMBtu Savings: Residential
BARRE,01/01/2007 12:00:00 AM,59794960,55331229,672156,1623728,8020,6899,202,3%,,
BARTON,01/01/2007 12:00:00 AM,3929502,7088690,7871,86347,1400,5063,62,1%,,
BELVIDERE,01/01/2007 12:00:00 AM,56477,961551,369,22285,178,5402,125,2%,,
BENNINGTON,01/01/2007 12:00:00 AM,102817121,42350627,1196037,2403623,6337,6683,379,5%,,
BENSON,01/01/2007 12:00:00 AM,547595,1439989,355,59714,252,5714,237,4%,,
BERKSHIRE ,01/01/2007 12:00:00 AM,2988629,4692481,11170,48391,602,7795,80,1%,,
BERLIN,01/01/2007 12:00:00 AM,36514586,7430985,1135317,216476,851,8732,254,3%,,
BETHEL,01/01/2007 12:00:00 AM,16721809,6311753,74590,128854,936,6743,138,2%,,
BLOOMFIELD,01/01/2007 12:00:00 AM,223036,773598,912,19818,144,5372,138,2%,,
BOLTON,01/01/2007 12:00:00 AM,3203583,4183329,5935,12944,446,9380,29,0%,,
BRADFORD,01/01/2007 12:00:00 AM,9696834,8000793,87768,252991,1213,6596,209,3%,,
BRAINTREE,01/01/2007 12:00:00 AM,367930,1160176,21059,102772,180,6445,571,8%,,
BRANDON,01/01/2007 12:00:00 AM,14175031,16524005,97626,402174,2294,7203,175,2%,,
BRATTLEBORO,01/01/2007 12:00:00 AM,136788192,39464013,4503007,1873789,6203,6362,302,5%,,
BRIDGEWATER,01/01/2007 12:00:00 AM,3260673,3906147,0,44214,569,6865,78,1%,,
BRIDPORT,01/01/2007 12:00:00 AM,1506753,5856296,1359,75233,556,10533,135,1%,,
BRISTOL,01/01/2007 12:00:00 AM,11131381,15175983,7489,545767,2062,7360,265,3%,,
BROOKFIELD,01/01/2007 12:00:00 AM,605025,4210609,160,100176,567,7426,177,2%,,
BROOKLINE,01/01/2007 12:00:00 AM,68151,941160,3246,15296,158,5957,97,2%,,
BROWNINGTON,01/01/2007 12:00:00 AM,535855,2099123,308,9429,343,6120,27,0%,,
BRUNSWICK,01/01/2007 12:00:00 AM,276375,304270,0,861,50,6085,17,0%,,
BUELS GORE,01/01/2007 12:00:00 AM,0,13834,0,369,5,2767,74,3%,,
BURKE,01/01/2007 12:00:00 AM,2032115,8026169,884,166541,1333,6021,125,2%,,
BURLINGTON,01/01/2007 12:00:00 AM,273686052,90263452,5459000,2749000,16060,5620,171,3%,,
CABOT,01/01/2007 12:00:00 AM,12952353,3429016,106776,110027,469,7311,235,3%,,
CALAIS,01/01/2007 12:00:00 AM,351094,3742808,2874,196905,613,6106,321,5%,,
CAMBRIDGE,01/01/2007 12:00:00 AM,12993628,15117377,49828,460002,2088,7240,220,3%,,
CANAAN ,01/01/2007 12:00:00 AM,15022292,2957061,1326,10722,550,5376,19,0%,,
CASTLETON,01/01/2007 12:00:00 AM,11143165,13004247,26100,254658,1838,7075,139,2%,,
CAVENDISH,01/01/2007 12:00:00 AM,5914863,3711439,107260,99132,596,6227,166,3%,,
CHARLESTON,01/01/2007 12:00:00 AM,1113270,3366958,492,68604,588,5726,117,2%,,
CHARLOTTE,01/01/2007 12:00:00 AM,3051445,15639627,8252,749846,1728,9051,434,5%,,
CHELSEA,01/01/2007 12:00:00 AM,2028408,3745668,906,89952,615,6091,146,2%,,
CHESTER,01/01/2007 12:00:00 AM,6847125,13732414,278627,216696,2019,6802,107,2%,,
CHITTENDEN,01/01/2007 12:00:00 AM,1075946,4622486,355,92903,636,7268,146,2%,,
CLARENDON,01/01/2007 12:00:00 AM,13406784,9272706,100508,128210,1143,8113,112,1%,,
COLCHESTER,01/01/2007 12:00:00 AM,84631558,49950955,940650,2524561,7035,7100,359,5%,,
CONCORD,01/01/2007 12:00:00 AM,1061709,5548983,538,47460,834,6653,57,1%,,
CORINTH,01/01/2007 12:00:00 AM,777297,5233337,1698,113296,787,6650,144,2%,,
CORNWALL,01/01/2007 12:00:00 AM,276377,1498294,40205,68081,141,10626,483,4%,,
COVENTRY,01/01/2007 12:00:00 AM,2503170,3187491,41551,30127,473,6739,64,1%,,
CRAFTSBURY,01/01/2007 12:00:00 AM,989548,3726837,19578,185057,548,6801,338,5%,,
DANBY,01/01/2007 12:00:00 AM,2845580,5788195,360,25751,763,7586,34,0%,,
DANVILLE,01/01/2007 12:00:00 AM,2796458,9115085,12628,270332,1252,7280,216,3%,,
DERBY,01/01/2007 12:00:00 AM,24717680,14774606,140031,352755,2370,6234,149,2%,,
DORSET,01/01/2007 12:00:00 AM,3954180,13072047,4690,204136,1375,9507,148,2%,,
DOVER,01/01/2007 12:00:00 AM,31763475,19865829,1224399,264599,3066,6479,86,1%,,
DUMMERSTON,01/01/2007 12:00:00 AM,1905082,6122673,7145,69644,720,8504,97,1%,,
DUXBURY,01/01/2007 12:00:00 AM,560921,1105059,185,31101,155,7129,201,3%,,
EAST HAVEN,01/01/2007 12:00:00 AM,69026,868172,0,11831,146,5946,81,1%,,
EAST MONTPELIER,01/01/2007 12:00:00 AM,2669853,6048238,42982,173665,792,7637,219,3%,,
EDEN,01/01/2007 12:00:00 AM,636288,3785552,3132,71749,648,5842,111,2%,,
ELMORE,01/01/2007 12:00:00 AM,2228,359250,246,15970,63,5702,253,4%,,
ENOSBURG FALLS,01/01/2007 12:00:00 AM,8003515,466751,101862,508753,1468,n/a,347,n/a,,
ESSEX,01/01/2007 12:00:00 AM,34368478,25637746,1210850,623512,3186,8047,196,2%,,
ESSEX JUNCTION,01/01/2007 12:00:00 AM,25174695,32223640,9251999,1227094,4606,6996,266,4%,,
FAIR HAVEN,01/01/2007 12:00:00 AM,8640154,11898008,76684,316154,1464,8127,216,3%,,
FAIRFAX,01/01/2007 12:00:00 AM,5280969,12969103,160677,372165,1693,7660,220,3%,,
FAIRFIELD,01/01/2007 12:00:00 AM,2214468,6950751,882,159698,873,7962,183,2%,,
FAIRLEE,01/01/2007 12:00:00 AM,6249853,3745903,3928,58462,567,6607,103,2%,,
FAYSTON,01/01/2007 12:00:00 AM,0,4312,875,24804,590,7,42,85%,,
FERDINAND,01/01/2007 12:00:00 AM,22692,105020,0,237,20,5251,12,0%,,
FERRISBURGH,01/01/2007 12:00:00 AM,6219256,11758249,2811,342912,1443,8148,238,3%,,
FLETCHER,01/01/2007 12:00:00 AM,439224,4041293,540,28598,556,7269,51,1%,,
FRANKLIN,01/01/2007 12:00:00 AM,2184182,4451987,11907,95584,769,5789,124,2%,,
GEORGIA,01/01/2007 12:00:00 AM,23166840,13591757,286034,221926,1645,8262,135,2%,,
GLOVER,01/01/2007 12:00:00 AM,1215179,3714948,31941,59522,697,5330,85,2%,,
GOSHEN,01/01/2007 12:00:00 AM,116707,223542,0,5859,47,4756,125,3%,,
GRAFTON,01/01/2007 12:00:00 AM,1666855,3054736,123,17462,464,6583,38,1%,,
GRANBY,01/01/2007 12:00:00 AM,11718,278039,0,819,51,5452,16,0%,,
GRAND ISLE,01/01/2007 12:00:00 AM,3938831,7540994,0,147126,1111,6788,132,2%,,
GRANVILLE,01/01/2007 12:00:00 AM,201623,1168965,245,22579,213,5488,106,2%,,
GREENSBORO,01/01/2007 12:00:00 AM,1482497,3202429,1794,94947,478,6700,199,3%,,
GROTON,01/01/2007 12:00:00 AM,508441,3180914,1430,30659,503,6324,61,1%,,
GUILDHALL,01/01/2007 12:00:00 AM,121692,875870,0,10372,134,6536,77,1%,,
GUILFORD,01/01/2007 12:00:00 AM,714726,2111029,21181,31220,335,6302,93,1%,,
HALIFAX,01/01/2007 12:00:00 AM,281765,3015794,0,16606,510,5913,33,1%,,
HANCOCK,01/01/2007 12:00:00 AM,340166,1292024,0,8006,208,6212,38,1%,,
HARDWICK,01/01/2007 12:00:00 AM,5251181,11135918,295319,699765,1660,6708,422,6%,,
HARTFORD,01/01/2007 12:00:00 AM,56273687,42046610,319022,422567,5597,7512,75,1%,,
HARTLAND,01/01/2007 12:00:00 AM,3973913,11452985,3702,194911,1497,7651,130,2%,,
HIGHGATE,01/01/2007 12:00:00 AM,10241700,11285834,2841,288142,1508,7484,191,2%,,
HINESBURG,01/01/2007 12:00:00 AM,20059344,13793803,17837,549548,1858,7424,296,4%,,
HOLLAND,01/01/2007 12:00:00 AM,1197880,2161231,1535,6875,362,5970,19,0%,,
HUBBARDTON,01/01/2007 12:00:00 AM,443335,2786980,1059,42496,525,5309,81,2%,,
HUNTINGTON,01/01/2007 12:00:00 AM,566540,5804816,2308,179255,804,7220,223,3%,,
HYDE PARK,01/01/2007 12:00:00 AM,3941118,10939098,21250,377462,1327,8243,284,3%,,
IRA,01/01/2007 12:00:00 AM,65678,1507224,0,10930,181,8327,60,1%,,
IRASBURG,01/01/2007 12:00:00 AM,2372095,3233379,5581,52373,453,7138,116,2%,,
ISLAND POND/BRIGHTON,01/01/2007 12:00:00 AM,2228934,3598189,10278,98731,837,4299,118,3%,,
ISLE LA MOTTE,01/01/2007 12:00:00 AM,686433,2482123,431,14694,460,5396,32,1%,,
JAMAICA,01/01/2007 12:00:00 AM,1408333,6948932,2109,64122,1013,6860,63,1%,,
JAY,01/01/2007 12:00:00 AM,8144614,3177949,15977,10257,632,5028,16,0%,,
JERICHO,01/01/2007 12:00:00 AM,5426862,15870762,54939,378568,1916,8283,198,2%,,
JOHNSON,01/01/2007 12:00:00 AM,557462,3964739,234168,287265,1311,3024,219,7%,,
KILLINGTON,01/01/2007 12:00:00 AM,46169372,18066913,191956,177844,2563,7049,69,1%,,
LANDGROVE,01/01/2007 12:00:00 AM,149157,1413083,369,1948,124,11396,16,0%,,
LEICESTER,01/01/2007 12:00:00 AM,157116,2139130,9652,33141,348,6147,95,2%,,
LEMINGTON,01/01/2007 12:00:00 AM,11016,408086,0,1178,72,5668,16,0%,,
LINCOLN,01/01/2007 12:00:00 AM,196582,957667,1606,31401,140,6840,224,3%,,
LONDONDERRY,01/01/2007 12:00:00 AM,5384402,11222656,27757,115126,1404,7993,82,1%,,
LOWELL,01/01/2007 12:00:00 AM,388123,2584608,779,53849,412,6273,131,2%,,
LUDLOW,01/01/2007 12:00:00 AM,29121241,18083216,346322,705338,3642,4965,194,4%,,
LUNENBURG,01/01/2007 12:00:00 AM,8956286,4751171,3488,23343,762,6235,31,0%,,
LYNDON,01/01/2007 12:00:00 AM,31167169,17107788,476086,480655,2569,6659,187,3%,,
MAIDSTONE,01/01/2007 12:00:00 AM,139829,1017838,0,615,270,3770,2,0%,,
MANCHESTER,01/01/2007 12:00:00 AM,37035641,21811735,1733252,633734,2544,8574,249,3%,,
MARLBORO,01/01/2007 12:00:00 AM,1275949,2824103,18550,76985,498,5671,155,3%,,
MARSHFIELD,01/01/2007 12:00:00 AM,1377969,4661024,800,127417,713,6537,179,3%,,
MENDON,01/01/2007 12:00:00 AM,1913916,2782894,44425,157493,375,7421,420,5%,,
MIDDLEBURY,01/01/2007 12:00:00 AM,85497887,25314219,1028013,1076577,3501,7231,308,4%,,
MIDDLESEX,01/01/2007 12:00:00 AM,778755,1895346,25211,91800,174,10893,528,5%,,
MIDDLETOWN SPRINGS,01/01/2007 12:00:00 AM,373900,2727660,185,33277,398,6853,84,1%,,
MILTON,01/01/2007 12:00:00 AM,34666093,32420138,1249413,827438,4189,7739,198,2%,,
MONKTON,01/01/2007 12:00:00 AM,706162,7248945,49,132813,810,8949,164,2%,,
MONTGOMERY,01/01/2007 12:00:00 AM,1477339,4294617,31098,99597,700,6135,142,2%,,
MONTPELIER,01/01/2007 12:00:00 AM,56439680,28704154,505129,1548356,4999,5742,310,5%,,
MORETOWN,01/01/2007 12:00:00 AM,2424001,6274257,5485,187692,936,6703,201,3%,,
MORGAN,01/01/2007 12:00:00 AM,526979,2756187,0,52693,682,4041,77,2%,,
MORRISTOWN,01/01/2007 12:00:00 AM,24207149,16842655,117803,729576,2810,5994,260,4%,,
MOUNT HOLLY,01/01/2007 12:00:00 AM,509311,6157489,971,135977,996,6182,137,2%,,
MOUNT TABOR,01/01/2007 12:00:00 AM,120711,463063,2266,9166,61,7591,150,2%,,
NEW HAVEN,01/01/2007 12:00:00 AM,3264187,7039665,28376,207438,723,9737,287,3%,,
NEWARK,01/01/2007 12:00:00 AM,3271,240498,0,4001,95,2532,42,2%,,
NEWBURY,01/01/2007 12:00:00 AM,4039836,6985726,8494,155080,1169,5976,133,2%,,
NEWFANE,01/01/2007 12:00:00 AM,1593655,7774948,453,206663,1153,6743,179,3%,,
NEWPORT,01/01/2007 12:00:00 AM,35517590,17273971,280729,521152,2909,5938,179,3%,,
NORTH HERO,01/01/2007 12:00:00 AM,1452747,4532620,2007,47806,869,5216,55,1%,,
NORTHFIELD,01/01/2007 12:00:00 AM,21383882,13792718,201012,793829,2155,6400,368,5%,,
NORTON,01/01/2007 12:00:00 AM,410997,590722,0,5451,185,3193,29,1%,,
NORWICH,01/01/2007 12:00:00 AM,4172256,13505961,86700,165222,1581,8543,105,1%,,
ORANGE,01/01/2007 12:00:00 AM,599477,333785,42,10905,32,10431,341,3%,,
ORLEANS,01/01/2007 12:00:00 AM,8855104,4618891,1025,206044,803,5752,257,4%,,
ORWELL,01/01/2007 12:00:00 AM,1060110,5112282,4000,90067,604,8464,149,2%,,
PANTON,01/01/2007 12:00:00 AM,1080933,2935549,39203,37376,261,11247,143,1%,,
PAWLET,01/01/2007 12:00:00 AM,2333412,6322489,21849,75982,733,8625,104,1%,,
PEACHAM,01/01/2007 12:00:00 AM,404363,2120787,0,37186,348,6094,107,2%,,
PERU,01/01/2007 12:00:00 AM,6785034,9692619,65977,93374,1074,9025,87,1%,,
PITTSFIELD,01/01/2007 12:00:00 AM,2515586,2691382,492,37220,415,6485,90,1%,,
PITTSFORD,01/01/2007 12:00:00 AM,2656850,8743183,829,234023,1240,7051,189,3%,,
PLAINFIELD,01/01/2007 12:00:00 AM,1499859,4757192,13970,201207,767,6202,262,4%,,
PLYMOUTH,01/01/2007 12:00:00 AM,1447020,5300782,246,74899,650,8155,115,1%,,
POMFRET,01/01/2007 12:00:00 AM,1020340,4410082,1396,57975,538,8197,108,1%,,
POULTNEY,01/01/2007 12:00:00 AM,10214669,12705217,155745,280234,1855,6849,151,2%,,
POWNAL,01/01/2007 12:00:00 AM,2706872,11156556,1679,317357,1545,7221,205,3%,,
PROCTOR,01/01/2007 12:00:00 AM,2023387,9063939,492,66491,1361,6660,49,1%,,
PUTNEY,01/01/2007 12:00:00 AM,27562303,8308812,53867,419310,1250,6647,335,5%,,
RANDOLPH,01/01/2007 12:00:00 AM,36793304,17815141,162657,557322,2431,7328,229,3%,,
READING,01/01/2007 12:00:00 AM,594131,2958897,2894,52558,402,7360,131,2%,,
READSBORO,01/01/2007 12:00:00 AM,108903,1558903,0,44361,1303,1196,34,3%,,
RICHFORD,01/01/2007 12:00:00 AM,12162432,6522748,329191,194302,1021,6389,190,3%,,
RICHMOND,01/01/2007 12:00:00 AM,5460624,13471932,57684,401918,1822,7394,221,3%,,
RIPTON,01/01/2007 12:00:00 AM,767413,1767126,38629,66402,292,6052,227,4%,,
ROCHESTER,01/01/2007 12:00:00 AM,1800025,4310292,1752,58157,741,5817,78,1%,,
ROCKINGHAM,01/01/2007 12:00:00 AM,18956867,16112589,284399,209463,2341,6883,89,1%,,
ROXBURY,01/01/2007 12:00:00 AM,390507,1434517,0,55743,239,6002,233,4%,,
ROYALTON,01/01/2007 12:00:00 AM,8778236,8699994,82350,107631,1345,6468,80,1%,,
RUPERT,01/01/2007 12:00:00 AM,453319,3578486,0,29239,424,8440,69,1%,,
RUTLAND,01/01/2007 12:00:00 AM,192062954,63101654,3696860,1154642,9048,6974,128,2%,,
RUTLAND TOWN,01/01/2007 12:00:00 AM,4754868,1350729,128174,33464,203,6654,165,2%,,
RYEGATE,01/01/2007 12:00:00 AM,1096973,4191274,48602,27737,586,7152,47,1%,,
SALISBURY,01/01/2007 12:00:00 AM,1477901,4615626,305,81542,606,7617,135,2%,,
SANDGATE,01/01/2007 12:00:00 AM,33761,650930,0,4242,150,4340,28,1%,,
SEARSBURG,01/01/2007 12:00:00 AM,76119,399505,0,6637,71,5627,93,2%,,
SHAFTSBURY,01/01/2007 12:00:00 AM,5785597,12845265,70088,465761,1656,7757,281,3%,,
SHARON,01/01/2007 12:00:00 AM,1818414,4622025,57500,54013,655,7057,82,1%,,
SHEFFIELD,01/01/2007 12:00:00 AM,313166,2099176,906,25205,319,6580,79,1%,,
SHELBURNE,01/01/2007 12:00:00 AM,28976016,25759841,355781,796180,2764,9320,288,3%,,
SHELDON,01/01/2007 12:00:00 AM,58670420,6993916,387953,129679,783,8932,166,2%,,
SHOREHAM,01/01/2007 12:00:00 AM,2553548,5642473,290030,104057,600,9404,173,2%,,
SHREWSBURY,01/01/2007 12:00:00 AM,543178,4142397,1607,74351,540,7671,138,2%,,
SOMERSET,01/01/2007 12:00:00 AM,0,2442,0,,2,1221,0,0%,,
SOUTH BURLINGTON,01/01/2007 12:00:00 AM,182494485,52207291,2677895,1896720,7681,6797,247,4%,,
SOUTH HERO,01/01/2007 12:00:00 AM,2584343,6673464,6300,103891,1028,6492,101,2%,,
SPRINGFIELD,01/01/2007 12:00:00 AM,44268407,28720608,1031776,396377,4159,6906,95,1%,,
ST. ALBANS,01/01/2007 12:00:00 AM,117360396,38315976,876412,2459081,5643,6790,436,6%,,
ST. GEORGE,01/01/2007 12:00:00 AM,497010,2153538,124411,28932,297,7251,97,1%,,
ST. JOHNSBURY,01/01/2007 12:00:00 AM,64862334,23413783,435043,731349,3668,6383,199,3%,,
STAMFORD,01/01/2007 12:00:00 AM,1045631,2998872,0,848,52,57671,16,0%,,
STANNARD,01/01/2007 12:00:00 AM,0,136433,0,239,20,6822,12,0%,,
STARKSBORO,01/01/2007 12:00:00 AM,699622,6028976,1007,103458,786,7670,132,2%,,
STOCKBRIDGE,01/01/2007 12:00:00 AM,637403,3230979,0,30684,503,6423,61,1%,,
STOWE,01/01/2007 12:00:00 AM,39629751,24727636,334743,486861,3702,6680,132,2%,,
STRAFFORD,01/01/2007 12:00:00 AM,666400,3415864,9509,39384,532,6421,74,1%,,
STRATTON,01/01/2007 12:00:00 AM,24087040,9898266,62747,5856,1352,7321,4,0%,,
SUDBURY,01/01/2007 12:00:00 AM,49090,1137446,15343,43242,205,5549,211,4%,,
SUNDERLAND,01/01/2007 12:00:00 AM,1031029,3088040,61248,36105,443,6971,82,1%,,
SUTTON,01/01/2007 12:00:00 AM,15520949,3017150,996,48749,440,6857,111,2%,,
SWANTON,01/01/2007 12:00:00 AM,26484534,20560001,239411,718760,2967,6930,242,3%,,
THETFORD,01/01/2007 12:00:00 AM,3380668,9230247,20983,76476,1302,7089,59,1%,,
TINMOUTH,01/01/2007 12:00:00 AM,49242,1247391,0,18814,195,6397,96,1%,,
TOPSHAM,01/01/2007 12:00:00 AM,125367,2035047,178,54270,359,5669,151,3%,,
TOWNSHEND,01/01/2007 12:00:00 AM,3504960,5155619,134600,103813,792,6510,131,2%,,
TROY,01/01/2007 12:00:00 AM,3183882,5147044,42689,161070,799,6442,202,3%,,
TUNBRIDGE,01/01/2007 12:00:00 AM,818320,3782793,1637,49076,588,6433,83,1%,,
UNDERHILL,01/01/2007 12:00:00 AM,1221673,10041335,634,320162,1239,8104,258,3%,,
VERGENNES,01/01/2007 12:00:00 AM,17525503,10563125,97972,431993,1640,6441,263,4%,,
VERNON,01/01/2007 12:00:00 AM,10855166,8233883,6468,111119,861,9563,129,1%,,
VERSHIRE,01/01/2007 12:00:00 AM,289633,1719562,616,28221,302,5694,93,2%,,
VICTORY,01/01/2007 12:00:00 AM,15922,221007,0,2317,65,3400,36,1%,,
WAITSFIELD,01/01/2007 12:00:00 AM,8012093,8293108,112360,373790,1160,7149,322,4%,,
WALDEN,01/01/2007 12:00:00 AM,5280,86954,0,4322,15,5797,288,5%,,
WALLINGFORD,01/01/2007 12:00:00 AM,3534634,8559213,13001,110869,1142,7495,97,1%,,
WALTHAM,01/01/2007 12:00:00 AM,53682,1933970,0,25842,197,9817,131,1%,,
WARDSBORO,01/01/2007 12:00:00 AM,629727,4960839,0,68388,843,5885,81,1%,,
WARREN,01/01/2007 12:00:00 AM,27592132,19566638,225278,245302,2216,8830,111,1%,,
WASHINGTON,01/01/2007 12:00:00 AM,446970,3243839,246,74968,416,7798,180,2%,,
WATERBURY,01/01/2007 12:00:00 AM,36697739,18558526,868063,703645,2710,6848,260,4%,,
WATERFORD,01/01/2007 12:00:00 AM,1316553,2174188,0,47555,263,8267,181,2%,,
WATERVILLE,01/01/2007 12:00:00 AM,283697,2123848,0,48085,326,6515,148,2%,,
WEATHERSFIELD,01/01/2007 12:00:00 AM,3104837,10155791,25310,135457,1392,7296,97,1%,,
WELLS,01/01/2007 12:00:00 AM,650233,4987696,302,40911,827,6031,49,1%,,
WEST FAIRLEE,01/01/2007 12:00:00 AM,421982,2194422,0,17635,335,6551,53,1%,,
WEST HAVEN,01/01/2007 12:00:00 AM,39523,613080,151436,44048,64,9579,688,7%,,
WEST RUTLAND,01/01/2007 12:00:00 AM,5564077,7430782,6264,98833,1072,6932,92,1%,,
WEST WINDSOR,01/01/2007 12:00:00 AM,3890242,4961107,2428,94878,676,7339,140,2%,,
WESTFIELD,01/01/2007 12:00:00 AM,739962,2106137,5727,34085,319,6602,107,2%,,
WESTFORD,01/01/2007 12:00:00 AM,669327,6625176,1850,154867,815,8129,190,2%,,
WESTMINSTER,01/01/2007 12:00:00 AM,5631528,10164773,27287,249140,1292,7867,193,2%,,
WESTMORE,01/01/2007 12:00:00 AM,47140,247459,0,,90,2750,0,0%,,
WESTON,01/01/2007 12:00:00 AM,1239881,3771509,5709,50621,557,6771,91,1%,,
WEYBRIDGE,01/01/2007 12:00:00 AM,138052,724593,0,16010,73,9926,219,2%,,
WHEELOCK,01/01/2007 12:00:00 AM,112976,447339,0,8472,73,6128,116,2%,,
WHITING,01/01/2007 12:00:00 AM,290430,1851770,0,47700,174,10642,274,3%,,
WHITINGHAM,01/01/2007 12:00:00 AM,120422,1690916,739,55268,490,3451,113,3%,,
WILLIAMSTOWN,01/01/2007 12:00:00 AM,3378666,10192759,317109,159354,1343,7590,119,2%,,
WILLISTON,01/01/2007 12:00:00 AM,97834414,27051279,995794,657603,3409,7935,193,2%,,
WILMINGTON,01/01/2007 12:00:00 AM,7632500,18005595,25807,287138,2619,6875,110,2%,,
WINDHAM,01/01/2007 12:00:00 AM,128714,1566351,0,4872,289,5420,17,0%,,
WINDSOR,01/01/2007 12:00:00 AM,17693222,11364913,24724,332148,1663,6834,200,3%,,
WINHALL,01/01/2007 12:00:00 AM,1566469,12461340,369,30098,1316,9469,23,0%,,
WINOOSKI,01/01/2007 12:00:00 AM,27273035,16382619,869171,1565997,2988,5483,524,9%,,
WOLCOTT,01/01/2007 12:00:00 AM,1124148,4731490,8199,155461,713,6636,218,3%,,
WOODBURY,01/01/2007 12:00:00 AM,331163,2366578,3081,47138,365,6484,129,2%,,
WOODFORD,01/01/2007 12:00:00 AM,476982,894887,73451,220434,213,4201,1035,20%,,
WOODSTOCK,01/01/2007 12:00:00 AM,16490674,13401710,342933,190407,1869,7171,102,1%,,
WORCESTER,01/01/2007 12:00:00 AM,475669,3081300,677,97168,474,6501,205,3%,,
