Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
13A304210,10/03/2013 11:30:00 PM,VSP: Middlesex,Accident - Injury|Drive/Operate Under Influence,Moretown,Washington,Washington,23V1201,VSP: Middlesex,Female,34,1
13D304355,10/04/2013 11:00:00 PM,VSP: Royalton,Drive/Operate Under Influence|Accident - Property,Hartford,Windsor,Windsor,23V1201,VSP: Royalton,Female,34,1
13B103474,10/05/2013 10:27:00 PM,VSP: Saint Johnsbury,Accident - Injury|Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Male,35,1
13D103145,10/06/2013 12:58:00 AM,VSP: Rockingham,Accident - Property|Drive/Operate Under Influence,Londonderry,Windham,Windham,23V1201A1#1,VSP: Rockingham,Male,23,1
13D304368,10/06/2013 03:53:00 AM,VSP: Royalton,Accident - Property|Drive/Operate Under Influence,Royalton,Windsor,Windsor,23V1201,VSP: Royalton,Female,24,1
13A304300,10/10/2013 05:05:00 PM,VSP: Middlesex,Accident - Injury|Drive/Operate Under Influence,East Montpelier,Washington,Washington,23V1201,VSP: Middlesex,Male,22,1
13A204519,10/11/2013 10:33:00 PM,VSP: Saint Albans,Accident - Property|Drive/Operate Under Influence,Bakersfield,Franklin,Franklin,23V1201,VSP: Saint Albans,Female,22,1
13C203589,10/14/2013 02:45:00 PM,VSP: New Haven,Accident - Property|Drive/Operate Under Influence,New Haven,Addison,Addison,23V1201,VSP: New Haven,Male,24,1
13A104012,10/14/2013 10:41:00 PM,VSP: Williston,Drive/Operate Under Influence|Accident - Property,Cambridge,Lamoille,Lamoille,23V1201,VSP: Williston,Male,20,1
13A104026,10/15/2013 11:04:00 PM,VSP: Williston,Accident - Property|Drive/Operate Under Influence,Huntington,Chittenden,Chittenden,23V1201,VSP: Williston,Male,71,1
13A104060,10/17/2013 03:16:00 PM,VSP: Williston,Drive/Operate Under Influence|Accident - Property,Underhill,Chittenden,Chittenden,23V1201,VSP: Williston,Male,52,1
13C105921,10/17/2013 11:46:00 PM,VSP: Rutland,Accident - Property|Drive/Operate Under Influence,Rutland Town,Rutland,Rutland,23V1201,VSP: Rutland,Female,30,1
13A304411,10/18/2013 11:43:00 PM,VSP: Middlesex,Accident - Injury|Drive/Operate Under Influence,Waterbury,Washington,Washington,23V1201,VSP: Middlesex,Female,61,1
13D103294,10/19/2013 04:35:00 AM,VSP: Rockingham,Drive/Operate Under Influence|Accident - Property,Londonderry,Windham,Windham,23V1201A1#2,VSP: Rockingham,Female,34,1
13B103674,10/22/2013 05:30:00 PM,VSP: Saint Johnsbury,Drive/Operate Under Influence|Accident - Property,Sutton,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Male,32,1
13D304636,10/24/2013 09:25:00 PM,VSP: Royalton,Drive/Operate Under Influence|Accident - Property,Hartland,Windsor,Windsor,23V1201A3#1,VSP: Royalton,Female,49,1
13B103733,10/27/2013 01:30:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence|Accident - Injury,Burke,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Female,26,1
13D202989,10/27/2013 11:56:00 AM,VSP: Brattleboro,Drive/Operate Under Influence|Accident - Injury,Newfane,Windham,Windham,23V1201A2#3,VSP: Brattleboro,Male,46,1
13C303192,10/27/2013 08:55:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Accident - Property,Shaftsbury,Bennington,Bennington,23V1201,VSP: Shaftsbury,Female,31,1
13A304549,10/28/2013 03:48:00 PM,VSP: Middlesex,Drive/Operate Under Influence|Accident - Property,Calais,Washington,Washington,23V1201,VSP: Middlesex,Male,59,1
