Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
16C301058,04/01/2016 01:43:00 AM,VSP: Shaftsbury,Drive/Operate Under Influence|C&N Operation,Glastenbury,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,31,1
16C301063,04/01/2016 11:44:00 AM,VSP: Shaftsbury,Drive/Operate Under Influence|Violate Conditions of Release|C&N Operation|DLS|Accident - Fatal,Sunderland,Bennington,Bennington,23V1201,VSP: Shaftsbury,Female,44,1
16A201434,04/01/2016 10:22:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|DLS,Highgate,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,31,1
16D100758,04/01/2016 10:54:00 PM,VSP: Rockingham,Drive/Operate Under Influence|Accident - Property,Rockingham,Windham,Windham,23V1201,VSP: Rockingham,Male,37,1
16C200886,04/02/2016 12:00:00 AM,VSP: New Haven,Drive/Operate Under Influence,Bristol,Addison,Addison,23V1201,VSP: New Haven,Male,33,1
16B101047,04/03/2016 02:30:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence|DLS|Violate Conditions of Release|Arrest on Warrant|Liquor Violations,Lyndon,Caledonia,Caledonia,23V1201A1#2,VSP: Saint Johnsbury,Female,24,1
16B201093,04/03/2016 04:01:00 AM,VSP: Derby,Drive/Operate Under Influence,Newport City,Orleans,Orleans,23V1201,VSP: Derby,Male,19,1
16C200903,04/03/2016 10:22:00 PM,VSP: New Haven,Drive/Operate Under Influence,Ferrisburgh,Addison,Addison,23V1201,VSP: New Haven,Male,29,1
16B101057,04/03/2016 10:34:00 PM,VSP: Saint Johnsbury,Drive/Operate Under Influence,St. Johnsbury,Caledonia,Caledonia,23V1201A1#1,VSP: Saint Johnsbury,Male,27,1
16B300667,04/07/2016 12:05:00 AM,VSP: Bradford,Drive/Operate Under Influence,Fairlee,Orange,Orange,23V1201,VSP: Bradford,Male,26,1
16C101729,04/07/2016 01:27:00 AM,VSP: Rutland,Drive/Operate Under Influence|Accident - Property,Killington,Rutland,Rutland,23V1201,VSP: Rutland,Female,24,1
16B101094,04/07/2016 02:25:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Male,22,1
16B101095,04/07/2016 02:50:00 AM,VSP: Saint Johnsbury,Drive/Operate Under Influence,Lyndon,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Female,23,1
16C101744,04/07/2016 10:32:00 PM,VSP: Rutland,Drive/Operate Under Influence,Poultney,Rutland,Rutland,23V1201,VSP: Rutland,Male,22,1
