Building Name,Building No.,Building Address,Town,Electrical (kWh),Electrical ($),Natural Gas (ccf),Natural Gas ($),Propane (gal),Propane ($),No. 1 Oil (gal),No. 1 Oil ($),No. 2 Oil (gal),No. 2 Oil ($),No. 6 Oil (gal),No. 6 Oil ($),Wood Chunk (cord),Wood Chunk ($),Wood Chip (ton),Wood Chip ($),Wood Pellet (ton),Wood Pellet ($),Biodiesel Blend (B20) (gal),Biodiesel Blend (B20) ($),Diesel (gal),Diesel ($),Gasohol (gal),Gasohol ($), BLDG TOTAL ($),Year,Location
Garage,6253,1078 US Rte 2,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"1078 US Rte 2
Middlesex, VT
(44.30009250600045, -72.69103957499965)"
Waterfront Streetlight,,,Newport,7050.00,$1300.82,,,,,,,,,,,,,,,,,,,,,,,$1300.82,01/01/2010 12:00:00 AM,"Newport, VT
(44.9353364960005, -72.21061830899964)"
Guilford Pump Station,,1235 Broad Brook Rd,Guilford,34534.00,$6124.58,,,684.70,$995.16,,,,,,,,,,,,,,,,,,,$7119.74,01/01/2013 12:00:00 AM,"1235 Broad Brook Rd
Guilford, VT
(42.814552738000486, -72.56738958699964)"
NESCF Wood Shed 1,6521,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
6 & 7 South,6362,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
179 Main St,,179 Main St,Hyde Park,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"179 Main St
Hyde Park, VT
(44.59329546200047, -72.61654968999966)"
NWSCF House,6326,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Bennington Welcome Center,,100 VT Route 279,Bennington,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"100 VT Route 279
Bennington, VT
(42.8871835650005, -73.17364715899964)"
NWSCF Sewage Building,6328,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
4 Governor Aiken Ave,6002,4 Governor Aiken Ave,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"4 Governor Aiken Ave
Montpelier, VT
(44.26230391900049, -72.58152314599965)"
Condo,,100 Main St,Newport,779680.00,$104220.17,,,,,,,,,,,,,,,,,,,,,,,$104220.17,01/01/2010 12:00:00 AM,"100 Main St
Newport, VT
(44.936065957000494, -72.20856086599963)"
Maintenance Storage,6440,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
128 State St,6023,128 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"128 State St
Montpelier, VT
(44.261562479000474, -72.58188675999963)"
Georgia North Information Center,9827,5200 Rte 89 North,Georgia,34988.00,$5999.34,,,1172.20,$2178.40,,,,,,,,,,,,,,,,,,,$8177.74,01/01/2011 12:00:00 AM,"5200 Rte 89 North
Georgia, VT
(44.70425780400046, -73.10441586099967)"
Garage,6291,1987 Rockingham Rd,Rockingham,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"1987 Rockingham Rd
Rockingham, VT
(43.22609242100049, -72.54181107699964)"
15 Green Mountain Dr,6029,15 Green Mountain Dr,Montpelier,19297.00,$2873.61,,,,,,,,,,,,,,,,,,,,,,,$2873.61,01/01/2011 12:00:00 AM,"15 Green Mountain Dr
Montpelier, VT
(44.23414045700048, -72.55621807299963)"
State Office,6430,565 St. George Ave,Williston,330480.00,$41849.68,14253.00,$17032.58,,,,,,,,,,,,,,,,,,,,,$58882.26,01/01/2013 12:00:00 AM,"565 St. George Ave
Williston, VT
(44.44678187000045, -73.11103091699965)"
12 Baldwin St,6007,12 Baldwin St,Montpelier,31986.00,$4494.16,,,,,,,1480.80,$3679.84,,,,,,,,,,,,,,,$8174.00,01/01/2010 12:00:00 AM,"12 Baldwin St
Montpelier, VT
(44.263022856000475, -72.58310670099962)"
121 South Main St,6382,121 South Main St,Waterbury,10302.00,$1601.44,,,,,,,1554.80,$3866.58,,,,,,,,,,,,,,,$5468.02,01/01/2010 12:00:00 AM,"121 South Main St
Waterbury, VT
(44.33161675100047, -72.75020320199962)"
Waterford Welcome Center,17,1270 I-93 Northbound,Waterford,32300.00,$4542.73,,,2548.50,$4370.13,,,,,,,,,,,,,,,,,,,$8912.86,01/01/2010 12:00:00 AM,"1270 I-93 Northbound
Waterford, VT
(44.3435309460005, -71.89139861799964)"
Training Building & Gym,6276,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Futures Building,6273,438 Academy Rd,Pittsford,,,,,,,,,324.40,$561.19,,,,,,,,,,,,,,,$561.19,01/01/2009 12:00:00 AM,"438 Academy Rd
Pittsford, VT
(43.715993943000456, -73.01900987499965)"
Recycling/Old Carpenter Shop,6386,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
CCWC Wood Shed 2,6345,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
118 State St,6030,118 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"118 State St
Montpelier, VT
(44.26131256800045, -72.58085750699962)"
Oil Shed,6456,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
B Building,6383,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Osgood Building,6350,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Common Ground,,,Montpelier,31303.00,$4806.28,,,,,,,,,,,,,,,,,,,,,,,$4806.28,01/01/2010 12:00:00 AM,"Montpelier, VT
(44.26029105700047, -72.57625768699967)"
Creosote Plant,6458,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
5 Park Row,6380,5 Park Row,Waterbury,12661.67,$1492.15,,,1055.40,$1349.41,,,,,,,,,,,,,,,,,,,$2841.56,01/01/2009 12:00:00 AM,"5 Park Row
Waterbury, VT
(44.33446407200046, -72.75199758199966)"
1193 North Avenue,6170,1193 North Avenue,Burlington,42360.00,$7175.37,0.00,$176.70,,,,,,,,,,,,,,,,,,,,,$7352.07,01/01/2011 12:00:00 AM,"1193 North Avenue
Burlington, VT
(44.50803455500045, -73.24642816899967)"
110 State St,6015,110 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"110 State St
Montpelier, VT
(44.26102238800047, -72.57960677099965)"
Common Ground,,,Montpelier,22146.00,$3676.59,,,,,,,,,,,,,,,,,,,,,,,$3676.59,01/01/2011 12:00:00 AM,"Montpelier, VT
(44.26029105700047, -72.57625768699967)"
Derby Welcome Center,3,1076 Rte I-91 Southbound,Derby,38495.14,$4536.57,,,,,,,350.90,$711.59,,,9.24,$1140.00,,,,,,,,,,,$6388.16,01/01/2009 12:00:00 AM,"1076 Rte I-91 Southbound
Derby, VT
(44.95407646900048, -72.13292959899962)"
Wood Storage Shed 2 (outside fence),6465,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Main Building,6274,317 Academy Rd,Pittsford,249865.00,$42371.10,,,1936.20,$2781.90,,,14998.00,$49284.93,,,,,196.43,$11000.08,,,,,196.90,$676.18,,,$106114.19,01/01/2013 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
112 State St,6011,112 State St,Montpelier,95559.00,$14029.74,,,,,,,,,,,,,,,,,,,,,,,$14029.74,01/01/2012 12:00:00 AM,"112 State St
Montpelier, VT
(44.26109226800048, -72.57991708599963)"
6 Baldwin St,6004,6 Baldwin St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"6 Baldwin St
Montpelier, VT
(44.26280255500046, -72.58220654999963)"
111 State St,6016,111 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"111 State St
Montpelier, VT
(44.26114675100047, -72.57990405799967)"
Garage,6511,100 Mineral St,Springfield,298.00,$249.07,,,65.30,$93.61,,,,,,,,,,,,,,,,,,,$342.68,01/01/2013 12:00:00 AM,"100 Mineral St
Springfield, VT
(43.29739979800047, -72.48456856299964)"
Sign/Machine Shop,6454,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
SSCF Generator Building,6520,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,528.90,$1940.50,,,$1940.50,01/01/2013 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Fair Haven Welcome Center,4,"47098 Prospect St, Rte 4",Fair Haven,57760.00,$6904.79,,,2074.70,$3382.06,,,,,,,,,,,,,,,,,,,$10286.85,01/01/2010 12:00:00 AM,"47098 Prospect St, Rte 4
Fair Haven, VT
(43.59139104400049, -73.26584938099967)"
126 State St,6022,126 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"126 State St
Montpelier, VT
(44.26151273400046, -72.58169725399966)"
Recycling Building,6325,20 Houghton St,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"20 Houghton St
St. Albans, VT
(44.80955088100046, -73.08872640499965)"
Common Ground,,,Waterbury,7903297.00,$849460.10,,,,,,,45487.00,$115363.99,,,,,,,,,,,,,,,$964824.09,01/01/2011 12:00:00 AM,"Waterbury, VT
(44.33871221600049, -72.75730654699964)"
142 State St,6031,142 State St,Montpelier,21669.00,$3359.91,,,,,,,,,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"142 State St
Montpelier, VT
(44.26203643500048, -72.58400053299965)"
NESCF Greenhouse,6527,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
Asa Bloomer Building,6303,88 Merchants Row,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"88 Merchants Row
Rutland, VT
(43.60680073900045, -72.98028660299963)"
Hanks Building,6372,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NWSCF Corrections,6322,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
SSCF BC-Seg Building,6516,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Boiler House,6378,103 South Main St,Waterbury,,,,,368.70,$556.57,,,,,,,,,,,,,,,,,,,$556.57,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Condo,,100 Main St,Newport,767760.00,$108793.44,,,,,,,5001.00,$18074.61,,,,,,,,,,,,,,,,01/01/2013 12:00:00 AM,"100 Main St
Newport, VT
(44.936065957000494, -72.20856086599963)"
"1, 2 & 3 North",6351,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
State Office,6302,92 State St,Rutland,3760.00,$766.97,,,,,,,,,,,,,,,,,,,,,,,$766.97,01/01/2010 12:00:00 AM,"92 State St
Rutland, VT
(43.60921219700049, -72.98181685999964)"
Recycling Building,6325,20 Houghton St,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"20 Houghton St
St. Albans, VT
(44.80955088100046, -73.08872640499965)"
NESCF Main Building,6341,1270 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
Randolph South Information Center,9437,"I-89 Southbound, Mile Marker 33.5",Randolph,40538.00,$5059.94,,,,,907.30,$3332.78,,,,,,,,,51.00,$528.90,,,,,,,$8921.62,01/01/2013 12:00:00 AM,"I-89 Southbound, Mile Marker 33.5
Randolph, VT
(43.92281076600045, -72.66551819499966)"
Temp Offices,,,Bennington,690511.00,$123279.08,,,,,,,,,,,,,,,,,,,,,,,$123279.08,01/01/2012 12:00:00 AM,"Bennington, VT
(42.8767219070005, -73.19817824999967)"
Weeks Building,6367,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Pump Station,,,Guilford,36095.00,$8149.43,,,1077.80,$2109.55,,,,,,,,,,,,,,,,,,,$10258.98,01/01/2011 12:00:00 AM,"Guilford, VT
(42.81712111100046, -72.57596738699965)"
1 Baldwin St,6003,1 Baldwin St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"1 Baldwin St
Montpelier, VT
(44.262666348000494, -72.58143431499963)"
6 & 7 North,6355,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Domestic Water Building,6471,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Asa Bloomer Building,6303,88 Merchants Row,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"88 Merchants Row
Rutland, VT
(43.60680073900045, -72.98028660299963)"
Remote Radio Building,6244,2490 Ethan Allen Highway,New Haven,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"2490 Ethan Allen Highway
New Haven, VT
(44.08327923000047, -73.17642245699966)"
Garage Building,6296,2011 VT Rte 107,Royalton,,,,,,,,,2194.50,$4336.66,,,,,,,,,,,,,,,$4336.66,01/01/2009 12:00:00 AM,"2011 VT Rte 107
Royalton, VT
(43.82341148100045, -72.60459188999965)"
District Court & Office,6070,255 North Main St,Barre,862800.00,$108515.25,,,,,,,,,,,,,,,,,,,,,,,$108515.25,01/01/2011 12:00:00 AM,"255 North Main St
Barre, VT
(44.19962378100047, -72.50424160599965)"
NWSCF Corrections,6322,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Troop Headquarters,6110,1594 Waits River Rd,Bradford,33050.24,$3894.90,,,,,,,32.40,$60.62,,,,,,,,,,,,,,,$3955.52,01/01/2009 12:00:00 AM,"1594 Waits River Rd
Bradford, VT
(43.98572652100046, -72.14094055599963)"
Futures Building,6273,438 Academy Rd,Pittsford,,,,,429.00,$708.84,,,,,,,,,,,,,,,,,,,$708.84,01/01/2012 12:00:00 AM,"438 Academy Rd
Pittsford, VT
(43.715993943000456, -73.01900987499965)"
NWSCF Program Building,6333,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
SSCF Maintenance,6518,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
District Court,6321,36 Lake St,St. Albans,367043.44,$43255.28,15464.15,$28823.10,,,,,,,,,,,,,,,,,,,,,$72078.38,01/01/2009 12:00:00 AM,"36 Lake St
St. Albans, VT
(44.81082175200049, -73.08498130199968)"
Alburgh Welcome Center,9041,"70 Rte 2, North Main St",Alburgh,2304.00,$476.65,,,683.40,$1034.18,,,,,,,,,,,,,,,,,,,$1510.83,01/01/2013 12:00:00 AM,"70 Rte 2, North Main St
Alburgh, VT
(44.98815910200045, -73.29604139799966)"
Garage,6701,35 Crawford Rd,Derby,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"35 Crawford Rd
Derby, VT
(44.95125482500049, -72.16227769299962)"
4 Governor Aiken Ave,6002,4 Governor Aiken Ave,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"4 Governor Aiken Ave
Montpelier, VT
(44.26230391900049, -72.58152314599965)"
BGS Shed,6472,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NWSCF Corrections,6322,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
Transportation,6309,McKinley Ave Complex,Rutland,,,,,,,,,710.40,$2423.62,,,,,,,,,,,,,,,$2423.62,01/01/2013 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
Green House/ Temporary Structure,6463,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Motor Vehicles,6307,McKinley Ave Complex,Rutland,54922.00,$6420.41,,,,,,,1226.00,$2988.67,,,,,,,,,,,,,,,$9409.08,01/01/2010 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
Building 1710,6201,394 Hegeman Ave,Colchester,32111.66,$3784.29,3438.26,$6408.46,,,341.80,$607.76,1427.60,$2700.43,,,,,,,,,,,,,,,$13500.94,01/01/2009 12:00:00 AM,"394 Hegeman Ave
Colchester, VT
(44.5072473780005, -73.14662075999962)"
Bradford Welcome Center,9707,"I-91 Northbound, Mile Marker 100",Bradford,43880.00,$5291.50,,,1534.30,$2971.65,,,,,,,,,,,,,,,,,,,$8263.15,01/01/2011 12:00:00 AM,"I-91 Northbound, Mile Marker 100
Bradford, VT
(43.992840026000465, -72.12826693699964)"
Storage Building,6305,92 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"92 State St
Rutland, VT
(43.60921219700049, -72.98181685999964)"
Highgate Springs Welcome Center,10,6052 Rte 7,Highgate,818.00,$94.51,,,,,,,,,,,,,,,,,,,,,,,$94.51,01/01/2010 12:00:00 AM,"6052 Rte 7
Highgate, VT
(44.9331482820005, -73.11921746799965)"
CRCF,6172,7 Farrell St,South Burlington,,,,,,,,,,,,,,,,,,,,,221.00,$562.44,,,$562.44,01/01/2011 12:00:00 AM,"7 Farrell St
South Burlington, VT
(44.44626522700048, -73.20447875099967)"
26 Terrace St,6012,26 Terrace St,Montpelier,157874.33,$18605.15,,,,,,,5536.70,$10653.16,,,,,,,,,,,,,,,$29258.31,01/01/2009 12:00:00 AM,"26 Terrace St
Montpelier, VT
(44.264964103000466, -72.58574674999966)"
Regional Library,6342,23 Tilton Rd,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"23 Tilton Rd
St. Johnsbury, VT
(44.42804427100049, -72.05235856399963)"
Troop Headquarters,6252,1078 US Rte 2,Middlesex,44810.00,$7264.75,,,20.30,$41.14,,,,,,,,,,,,,,,,,,,$7305.89,01/01/2011 12:00:00 AM,"1078 US Rte 2
Middlesex, VT
(44.30009250600045, -72.69103957499965)"
Sign & Plate Shop Storage,6444,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Dorm & Dining,6448,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
B Building Annex/Old Storehouse,6392,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Office,6019,116 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"116 State St
Montpelier, VT
(44.261191759000496, -72.58032689199968)"
Transportation,6309,McKinley Ave Complex,Rutland,,,,,,,,,962.30,$1827.34,,,,,,,,,,,,,,,$1827.34,01/01/2009 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
Williston North Information Center,19,"I-89 Northbound, Mile Marker 82",Williston,139880.00,$16846.38,,,,,,,4557.00,$11346.61,,,,,,,,,,,,,,,$28192.99,01/01/2010 12:00:00 AM,"I-89 Northbound, Mile Marker 82
Williston, VT
(44.45307249700045, -73.11672904099964)"
CCWC Wood Shed 3,6338,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
Garage by 123 South Main St,6616,123 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"123 South Main St
Waterbury, VT
(44.3314876500005, -72.75009542099963)"
Public Safety Building,6384,103 South Main St,Waterbury,,,,,,,,,57998.00,$189813.74,,,,,,,,,,,24.30,$85.68,,,$189899.42,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Radio & Communications Shop,6251,409 US Rte 2,Middlesex,30320.28,$3573.18,,,2209.80,$2660.80,,,,,,,,,,,,,,,,,,,$6233.98,01/01/2009 12:00:00 AM,"409 US Rte 2
Middlesex, VT
(44.27601227600047, -72.64280804899965)"
Modular Bldg (Fecteau unit),6081,200 Veteran's Memorial Dr,Bennington,777279.00,$118117.70,,,,,,,,,,,,,,,,,,,,,,,$118117.70,01/01/2010 12:00:00 AM,"200 Veteran's Memorial Dr
Bennington, VT
(42.88864540200046, -73.19911107899964)"
Plate Shop,6455,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Troop Headquarters,6290,1987 Rockingham Rd,Rockingham,134313.00,$17047.40,,,2727.60,$5426.75,,,,,,,,,,,,,,,57.00,$177.50,,,$22651.65,01/01/2011 12:00:00 AM,"1987 Rockingham Rd
Rockingham, VT
(43.22609242100049, -72.54181107699964)"
Forensics Lab,6397,103 South Main St,Waterbury,,,,,1246.70,$2274.32,,,,,,,,,,,,,,,43.60,$135.87,,,$2410.19,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
MVRCF Storage,6040,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Office,6019,116 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"116 State St
Montpelier, VT
(44.261191759000496, -72.58032689199968)"
Old Laundry,6385,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Garage Building,6296,2011 VT Rte 107,Royalton,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"2011 VT Rte 107
Royalton, VT
(43.82341148100045, -72.60459188999965)"
6 & 7 South,6362,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
43 Randall St,6377,43 Randall St,Waterbury,16040.00,$9216.32,,,,,,,1893.80,$5865.71,,,,,,,,,,,,,,,$15082.03,01/01/2011 12:00:00 AM,"43 Randall St
Waterbury, VT
(44.334377789000484, -72.75506137799965)"
118 State St,6030,118 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"118 State St
Montpelier, VT
(44.26131256800045, -72.58085750699962)"
NSCF A-1 Admin,6261,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Saw Mill,6451,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
SSCF BC-Seg Building,6516,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Father Logue Camp Kitchen, 6610-6611,Hart Rd,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"Hart Rd
Duxbury, VT
(44.3293600070005, -72.76684821899966)"
