Building Name,Building No.,Building Address,Town,Electrical (kWh),Electrical ($),Natural Gas (ccf),Natural Gas ($),Propane (gal),Propane ($),No. 1 Oil (gal),No. 1 Oil ($),No. 2 Oil (gal),No. 2 Oil ($),No. 6 Oil (gal),No. 6 Oil ($),Wood Chunk (cord),Wood Chunk ($),Wood Chip (ton),Wood Chip ($),Wood Pellet (ton),Wood Pellet ($),Biodiesel Blend (B20) (gal),Biodiesel Blend (B20) ($),Diesel (gal),Diesel ($),Gasohol (gal),Gasohol ($), BLDG TOTAL ($),Year,Location
State Office,6160,232 Main St,Brattleboro,212942.00,$37334.85,,,,,,,,,,,,,,,,,6005.00,$21761.52,,,,,$59096.37,01/01/2012 12:00:00 AM,"232 Main St
Brattleboro, VT
(42.855784403000484, -72.56022627699963)"
136 State St,6027,136 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"136 State St
Montpelier, VT
(44.261832524000454, -72.58311617599963)"
Building 1705,6200,424 Hegeman Ave,Colchester,15707.00,$2495.29,77.00,$460.80,,,,,1584.00,$5596.27,,,,,,,,,,,,,,,$8552.36,01/01/2012 12:00:00 AM,"424 Hegeman Ave
Colchester, VT
(44.507221855000466, -73.14660312499967)"
Radio & Communications Storage,6256,409 US Rte 2,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"409 US Rte 2
Middlesex, VT
(44.27601227600047, -72.64280804899965)"
Eternal Flame,,,Sharon,,,,,84.40,$88.07,,,,,,,,,,,,,,,,,,,$88.07,01/01/2009 12:00:00 AM,"Sharon, VT
(43.783681207000484, -72.45679705999964)"
Old Laundry,6385,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Condo,,100 Main St,Newport,767760.00,$108793.44,,,,,,,5500.00,$18990.40,,,,,,,,,,,,,,,$127783.84,01/01/2012 12:00:00 AM,"100 Main St
Newport, VT
(44.936065957000494, -72.20856086599963)"
NWSCF Green Houses,6335,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
121 South Main St,6382,121 South Main St,Waterbury,12594.00,$1979.93,,,,,,,1844.40,$5788.86,,,,,,,,,,,,,,,$7768.79,01/01/2011 12:00:00 AM,"121 South Main St
Waterbury, VT
(44.33161675100047, -72.75020320199962)"
Logue Cottage,6393,103 South Main St,Waterbury,,,,,1082.10,$1362.80,,,,,,,,,,,,,,,,,,,$1362.80,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Common Ground,,,Pittsford,353131.69,$41615.81,,,,,,,31202.60,$59142.76,,,,,,,,,,,,,,,$100758.57,01/01/2009 12:00:00 AM,"Pittsford, VT
(43.70595230200047, -73.02659763299965)"
Office,6019,116 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"116 State St
Montpelier, VT
(44.261191759000496, -72.58032689199968)"
Randolph South Information Center,9437,"I-89 Southbound, Mile Marker 33.5",Randolph,34840.00,$3917.92,,,,,578.10,$2172.31,262.20,$763.31,,,,,,,3.00,$794.00,,,,,,,$7647.54,01/01/2011 12:00:00 AM,"I-89 Southbound, Mile Marker 33.5
Randolph, VT
(43.92281076600045, -72.66551819499966)"
13 Green Mountain Dr,6028,13 Green Mountain Dr,Montpelier,16565.34,$1952.19,,,,,,,,,,,,,,,,,,,,,,,$1952.19,01/01/2009 12:00:00 AM,"13 Green Mountain Dr
Montpelier, VT
(44.25664837900047, -72.59135732999965)"
Futures Building,6273,438 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"438 Academy Rd
Pittsford, VT
(43.715993943000456, -73.01900987499965)"
Hanks Building,6372,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
136 State St,6027,136 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"136 State St
Montpelier, VT
(44.261832524000454, -72.58311617599963)"
Garage,6336,140 Fisher Pond Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"140 Fisher Pond Rd
St. Albans, VT
(44.809580492000464, -73.06590164799962)"
"1, 2 & 3 North",6351,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Dog Kennel,6289,317 Academy Rd,Pittsford,973.00,$332.40,,,236.90,$383.37,,,,,,,,,,,,,,,,,,,$715.77,01/01/2010 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
MVRCF Main Building,6304,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
CCWC Wood Shed 1,6349,1266 US Rte 5,St. Johnsbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
Sign & Plate Shop Storage,6444,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Old Laundry,6385,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Multi-Modal Transit Center,6313,102 West St,Rutland,632641.00,$71552.68,,,12352.20,$24768.57,,,,,,,,,,,,,,,,,,,$96321.25,01/01/2011 12:00:00 AM,"102 West St
Rutland, VT
(43.60789198800046, -72.97954380799968)"
252 Main St (KenGar),6630,252 Main St,Hyde Park,19320.00,$3823.98,,,,,,,1095.20,$2660.66,,,,,,,,,,,,,,,$6484.64,01/01/2010 12:00:00 AM,"252 Main St
Hyde Park, VT
(44.5927586680005, -72.61538130599968)"
CCV Wasson Hall,6371,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Forensics Lab,6397,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
CCWC Main Administration Building,6343,1266 US Rte 5,St. Johnsbury,,,,,263.20,$447.18,,,,,,,,,,,,,,,,,,,$447.18,01/01/2010 12:00:00 AM,"1266 US Rte 5
St. Johnsbury, VT
(44.335513335000485, -72.04233839099965)"
SSCF Maintenance,6518,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
Garage,6447,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Duxbury Farm Residence,6601,6102 VT Rte 100,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"6102 VT Rte 100
Duxbury, VT
(44.325547171000494, -72.74907603299965)"
Garage by 123 South Main St,6616,123 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"123 South Main St
Waterbury, VT
(44.3314876500005, -72.75009542099963)"
Firing Range,6283,317 Academy Rd,Pittsford,1320.00,$1344.47,,,,,,,,,,,,,,,,,,,,,,,$1344.47,01/01/2012 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Guilford Welcome Center,5,1235 Broad Brook Rd,Guilford,253612.01,$29887.63,,,6833.50,$8355.77,,,,,,,,,,,,,,,,,,,$38243.40,01/01/2009 12:00:00 AM,"1235 Broad Brook Rd
Guilford, VT
(42.814552738000486, -72.56738958699964)"
"1, 2 & 3 North",6351,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Doctor's House,6270,197 Academy Rd,Pittsford,4964.00,$917.30,,,,,,,1220.60,$4407.52,,,,,,,,,,,,,,,$5324.82,01/01/2012 12:00:00 AM,"197 Academy Rd
Pittsford, VT
(43.714991815000474, -73.01519352099967)"
Smoke & Barn Building,6280,317 Academy Rd,Pittsford,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"317 Academy Rd
Pittsford, VT
(43.715081829000496, -73.01761090199966)"
Garage,6701,35 Crawford Rd,Derby,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"35 Crawford Rd
Derby, VT
(44.95125482500049, -72.16227769299962)"
Public Safety Building,6384,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
NESCF Pump Station Building,6523,1270 US Rte 5,St. Johnsbury,,,,,515.80,$960.91,,,,,,,,,,,,,,,515.80,$960.91,,,$1921.82,01/01/2011 12:00:00 AM,"1270 US Rte 5
St. Johnsbury, VT
(44.33557262400046, -72.04234201199966)"
Dog Kennel,6289,361 Academy Rd,Pittsford,725.00,$305.87,,,133.50,$258.77,,,,,,,,,,,,,,,,,,,$564.64,01/01/2011 12:00:00 AM,"361 Academy Rd
Pittsford, VT
(43.715087919000496, -73.01828984499963)"
CCV Wasson Hall,6371,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Stanley Hall,6370,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
MVRCF Main Building,6304,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Troop Headquarters,6337,140 Fisher Pond Rd,St. Albans,182720.00,$23652.66,3383.00,$4775.64,124.70,$246.15,,,,,,,,,,,,,,,,,,,$28674.45,01/01/2012 12:00:00 AM,"140 Fisher Pond Rd
St. Albans, VT
(44.809580492000464, -73.06590164799962)"
Domestic Water Building,6471,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Program Building,6452,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Weeks Building,6367,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Former Armory,6314,62 Pierpont Ave,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"62 Pierpont Ave
Rutland, VT
(43.610182042000474, -72.99133420299967)"
Heifer Barn,6459,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
State Office,6510,100 Mineral St,Springfield,640310.37,$75459.20,,,257.00,$300.90,,,21640.40,$43921.19,,,,,,,,,,,,,,,$119681.29,01/01/2009 12:00:00 AM,"100 Mineral St
Springfield, VT
(43.29739979800047, -72.48456856299964)"
NWSCF Wood Shop,6323,3649 Lower Newton Rd,St. Albans,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"3649 Lower Newton Rd
St. Albans, VT
(44.85470419100045, -73.14088758699967)"
4 North,6353,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Father Logue Camp Maintenance Shed,6612,Hart Rd,Duxbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"Hart Rd
Duxbury, VT
(44.3293600070005, -72.76684821899966)"
MVRCF Main Building,6304,167 State St,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"167 State St
Rutland, VT
(43.6085264240005, -72.99014325899964)"
Building 1707 Storage Building,6202,409 Hegeman Ave,Colchester,5885.00,$1086.47,,,,,,,,,,,,,,,,,,,,,,,$1086.47,01/01/2013 12:00:00 AM,"409 Hegeman Ave
Colchester, VT
(44.50725931700049, -73.14654465999968)"
Equipment Storage/Old Green House,6389,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
179 Main St,,179 Main St,Hyde Park,4658.00,$928.89,,,,,,,,,,,,,,,,,,,,,,,$928.89,01/01/2010 12:00:00 AM,"179 Main St
Hyde Park, VT
(44.59329546200047, -72.61654968999966)"
Garage Building,6296,2011 VT Rte 107,Royalton,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"2011 VT Rte 107
Royalton, VT
(43.82341148100045, -72.60459188999965)"
Pump House,6470,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Health Lab,6171,195 Colchester Ave,Burlington,681600.00,$95869.04,49968.00,$56682.81,,,,,,,,,,,,,,,,,,,,,$152551.85,01/01/2013 12:00:00 AM,"195 Colchester Ave
Burlington, VT
(44.482355794000455, -73.19227167999964)"
Gym,6221,26 Woodside Dr East,Essex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"26 Woodside Dr East
Essex, VT
(44.501563055000474, -73.14590593299965)"
2 Governor Aiken Ave,6001,2 Governor Aiken Ave,Montpelier,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2010 12:00:00 AM,"2 Governor Aiken Ave
Montpelier, VT
(44.2616680910005, -72.58180504799964)"
Former VCET Building,6203,245 South Park Dr,Colchester,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"245 South Park Dr
Colchester, VT
(44.503773613000476, -73.17861774399967)"
Radio Shop,6310,McKinley Ave Complex,Rutland,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2011 12:00:00 AM,"McKinley Ave Complex
Rutland, VT
(43.605093197000485, -72.97827833599968)"
Radio & Communications Storage,6256,409 US Rte 2,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"409 US Rte 2
Middlesex, VT
(44.27601227600047, -72.64280804899965)"
Central Boiler Plant,6021,122 State St,Montpelier,,,,,131.20,$187.36,,,,,102975.37,$294316.71,,,3027.62,$166519.10,,,,,,,,,$461023.17,01/01/2013 12:00:00 AM,"122 State St
Montpelier, VT
(44.26143219300047, -72.58136680399963)"
Stake Shed,6469,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2012 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
Georgia North Information Center,6,5200 Rte 89 North,Georgia,65109.12,$7672.97,,,1315.70,$1579.67,,,,,,,,,,,,,,,,,,,$9252.64,01/01/2009 12:00:00 AM,"5200 Rte 89 North
Georgia, VT
(44.70425780400046, -73.10441586099967)"
10 North,6357,103 South Main St,Waterbury,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"103 South Main St
Waterbury, VT
(44.33272654300049, -72.75132246899966)"
Outdoor Firing Range,6283,47 Dorfner Rd,Pittsford,686.00,$1162.63,,,,,,,,,,,,,,,,,,,,,,,$1162.63,01/01/2011 12:00:00 AM,"47 Dorfner Rd
Pittsford, VT
(43.71704756800045, -73.01799904799964)"
Capital Region Information Center (12),6026,134 State St,Montpelier,,,,,283.00,$408.07,,,,,,,,,,,,,,,,,,,$408.07,01/01/2013 12:00:00 AM,"134 State St
Montpelier, VT
(44.2617827790005, -72.58287692599964)"
132 State St,6024,132 State St,Montpelier,,,,,,,,,,,,,,,,,,,,,256.80,$580.88,,,$580.88,01/01/2009 12:00:00 AM,"132 State St
Montpelier, VT
(44.261692764000486, -72.58249672999966)"
District Court,6420,82 Railroad Row,White River Junction,282240.00,$37460.57,,,,,,,5800.00,$14237.26,,,,,,,,,,,,,,,$51697.83,01/01/2010 12:00:00 AM,"82 Railroad Row
White River Junction, VT
(43.64870988700045, -72.31780606599966)"
Plate Shop,6455,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
NSCF Garage,6533,2559 Glen Rd,Newport,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2009 12:00:00 AM,"2559 Glen Rd
Newport, VT
(44.905582808000474, -72.19366928499966)"
Wood Storage Shed 1 (outside fence),6464,546 State Farm Rd,Windsor,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,01/01/2013 12:00:00 AM,"546 State Farm Rd
Windsor, VT
(43.50109692300049, -72.42632403899967)"
SSCF Energy Building,6519,"700 Charlestown Rd, Rte 11",Springfield,,,,,,,,,4451.00,$15973.77,,,,,,,,,,,,,,,$15973.77,01/01/2013 12:00:00 AM,"700 Charlestown Rd, Rte 11
Springfield, VT
(43.26490670600049, -72.44043509499966)"
